employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,department_id,manager_id
101,Neena,Kochhar,nkochhar,515.123.4568,9/21/05,AD_VP,17000,100,90
102,Lex,De Haan,ldehaan,515.123.4569,1/13/01,AD_VP,17000,100,90
103,Alexander,Hunold,ahunold,590.423.4567,1/3/06,IT_PROG,9000,102,60
104,Bruce,Ernst,bernst,590.423.4568,5/21/07,IT_PROG,6000,103,60
105,David,Austin,daustin,590.423.4569,6/25/05,IT_PROG,4800,103,60
106,Valli,Pataballa,vpatabal,590.423.4560,2/5/06,IT_PROG,4800,103,60
107,Diana,Lorentz,dlorentz,590.423.5567,2/7/07,IT_PROG,4200,103,60
108,Nancy,Greenberg,ngreenbe,515.124.4569,8/17/02,FI_MGR,12008,101,100
109,Daniel,Faviet,dfaviet,515.124.4169,8/16/02,FI_ACCOUNT,9000,108,100
110,John,Chen,jchen,515.124.4269,9/28/05,FI_ACCOUNT,8200,108,100
111,Ismael,Sciarra,isciarra,515.124.4369,9/30/05,FI_ACCOUNT,7700,108,100
112,Jose Manuel,Urman,jmurman,515.124.4469,3/7/06,FI_ACCOUNT,7800,108,100
113,Luis,Popp,lpopp,515.124.4567,12/7/07,FI_ACCOUNT,6900,108,100
114,Den,Raphaely,drapheal,515.127.4561,12/7/02,PU_MAN,11000,100,30
115,Alexander,Khoo,akhoo,515.127.4562,5/18/03,PU_CLERK,3100,114,30
116,Shelli,Baida,sbaida,515.127.4563,12/24/05,PU_CLERK,2900,114,30
117,Sigal,Tobias,stobias,515.127.4564,7/24/05,PU_CLERK,2800,114,30
118,Guy,Himuro,ghimuro,515.127.4565,11/15/06,PU_CLERK,2600,114,30
119,Karen,Colmenares,kcolmena,515.127.4566,8/10/07,PU_CLERK,2500,114,30
120,Matthew,Weiss,mweiss,650.123.1234,7/18/04,ST_MAN,8000,100,50
121,Adam,Fripp,afripp,650.123.2234,4/10/05,ST_MAN,8200,100,50
122,Payam,Kaufling,pkauflin,650.123.3234,5/1/03,ST_MAN,7900,100,50
123,Shanta,Vollman,svollman,650.123.4234,10/10/05,ST_MAN,6500,100,50
124,Kevin,Mourgos,kmourgos,650.123.5234,11/16/07,ST_MAN,5800,100,50
125,Julia,Nayer,jnayer,650.124.1214,7/16/05,ST_CLERK,3200,120,50
126,Irene,Mikkilineni,imikkili,650.124.1224,9/28/06,ST_CLERK,2700,120,50
127,James,Landry,jlandry,650.124.1334,1/14/07,ST_CLERK,2400,120,50
128,Steven,Markle,smarkle,650.124.1434,3/8/08,ST_CLERK,2200,120,50
129,Laura,Bissot,lbissot,650.124.5234,8/20/05,ST_CLERK,3300,121,50
130,Mozhe,Atkinson,matkinso,650.124.6234,10/30/05,ST_CLERK,2800,121,50
131,James,Marlow,jamrlow,650.124.7234,2/16/05,ST_CLERK,2500,121,50
132,TJ,Olson,tjolson,650.124.8234,4/10/07,ST_CLERK,2100,121,50
133,Jason,Mallin,jmallin,650.127.1934,6/14/04,ST_CLERK,3300,122,50
134,Michael,Rogers,mrogers,650.127.1834,8/26/06,ST_CLERK,2900,122,50
135,Ki,Gee,kgee,650.127.1734,12/12/07,ST_CLERK,2400,122,50
136,Hazel,Philtanker,hphiltan,650.127.1634,2/6/08,ST_CLERK,2200,122,50
137,Renske,Ladwig,rladwig,650.121.1234,7/14/03,ST_CLERK,3600,123,50
138,Stephen,Stiles,sstiles,650.121.2034,10/26/05,ST_CLERK,3200,123,50
139,John,Seo,jseo,650.121.2019,2/12/06,ST_CLERK,2700,123,50
140,Joshua,Patel,jpatel,650.121.1834,4/6/06,ST_CLERK,2500,123,50
198,Donald,OConnell,doconnel,650.507.9833,6/21/07,SH_CLERK,2600,124,50
199,Douglas,Grant,dgrant,650.507.9844,1/13/08,SH_CLERK,2600,124,50
200,Jennifer,Whalen,jwhalen,515.123.4444,9/17/03,AD_ASST,4400,101,10
201,Michael,Hartstein,mhartste,515.123.5555,2/17/04,MK_MAN,13000,100,20
202,Pat,Fay,pfay,603.123.6666,8/17/05,MK_REP,6000,201,20
203,Susan,Mavris,smavris,515.123.7777,6/7/02,HR_REP,6500,101,40
204,Hermann,Baer,hbaer,515.123.8888,6/7/02,PR_REP,10000,101,70
205,Shelley,Higgins,shiggins,515.123.8080,6/7/02,AC_MGR,12008,101,110
206,William,Gietz,wgietz,515.123.8181,6/7/02,AC_ACCOUNT,8300,205,110
